ward,value,lat,long,w_code
鶴見区,29,35.508398,139.682384,141011
神奈川区,16,35.477397,139.629124,141020
西区,11,35.453525,139.616817,141038
中区,9,35.444718,139.642166,141046
南区,13,35.434373,139.627641,141054
港南区,17,35.400939,139.592556,141119
保土ヶ谷区,17,35.459882,139.596051,141062
旭区,38,35.474774,139.544785,141127
磯子区,14,35.402389,139.618550,141071
金沢区,18,35.338097,139.624496,141089
港北区,34,35.519000,139.633067,141097
緑区,10,35.512287,139.537821,141135
青葉区,35,35.552973,139.536921,141178
都筑区,13,35.544833,139.570633,141186
戸塚区,21,35.399989,139.533486,141101
栄区,4,35.361149,139.563647,141151
泉区,20,35.417786,139.488704,141160
瀬谷区,28,35.466217,139.498818,141143
川崎区,22,35.529722,139.703889,
幸区,21,35.544376,139.686785,
中原区,34,35.576319,139.655773,
高津区,19,35.599554,139.608098,
宮前区,26,35.589216,139.578580,
多摩区,13,35.619512,139.562201,
麻生区,17,35.603780,139.505658,
