ward,value,lat,long,w_code
鶴見区,25,35.508398,139.682384,141011
神奈川区,14,35.477397,139.629124,141020
西区,10,35.453525,139.616817,141038
中区,9,35.444718,139.642166,141046
南区,11,35.434373,139.627641,141054
港南区,17,35.400939,139.592556,141119
保土ヶ谷区,17,35.459882,139.596051,141062
旭区,20,35.474774,139.544785,141127
磯子区,13,35.402389,139.618550,141071
金沢区,17,35.338097,139.624496,141089
港北区,29,35.519000,139.633067,141097
緑区,7,35.512287,139.537821,141135
青葉区,33,35.552973,139.536921,141178
都筑区,10,35.544833,139.570633,141186
戸塚区,17,35.399989,139.533486,141101
栄区,4,35.361149,139.563647,141151
泉区,17,35.417786,139.488704,141160
瀬谷区,17,35.466217,139.498818,141143
川崎区,27,35.529722,139.703889,
幸区,27,35.544376,139.686785,
中原区,44,35.576319,139.655773,
高津区,28,35.599554,139.608098,
宮前区,38,35.589216,139.578580,
多摩区,19,35.619512,139.562201,
麻生区,20,35.603780,139.505658,
鎌倉市,34,35.319230,139.546972,
藤沢市,51,35.339165,139.490140,
横須賀市,36,35.281501,139.672094,
平塚市,19,35.335092,139.349346,
厚木市,15,35.443049,139.362442,
茅ヶ崎市,22,35.333822,139.403690,
秦野市,12,35.374743,139.219915,
大和市,23,35.487530,139.457996,
海老名市,11,35.446447,139.390791,
伊勢原市,4,35.403133,139.314511,
座間市,6,35.488602,139.407563,
綾瀬市,3,35.436607,139.427637,
三浦市,1,35.144176,139.620758,
逗子市,2,35.295601,139.580351,
相模原市,75,35.571546,139.373169,
南足柄市,5,35.320720,139.099600,
